desc,link
Ankle-Length Chinos with Insert Pockets,https://www.ajio.com/netplay-ankle-length-chinos-with-insert-pockets/p/443001117_white
Tapered Fit Flat-Front Trousers,https://www.ajio.com/netplay-tapered-fit-flat-front-trousers/p/441140114_stone
"Od cargo pant, olive, 30",https://www.ajio.com/ecko-unltd-od-cargo-pant-olive-30/p/443004512_olive
Slim Fit Flat-Front Trousers,https://www.ajio.com/louis-philippe-slim-fit-flat-front-trousers/p/469453831_cream
Slim Tapered Fit Flat-Front Trousers,https://www.ajio.com/club-chino-slim-tapered-fit-flat-front-trousers/p/420447519_stone
Slim Fit Flat-Front Chinos with Belt,https://www.ajio.com/netplay-slim-fit-flat-front-chinos-with-belt/p/441140119_midblue
Mid Rise Slim Fit Cargo Pants,https://www.ajio.com/ivoc-mid-rise-slim-fit-cargo-pants/p/465315793_khaki
Slim Fit Flat-Front Trousers,https://www.ajio.com/john-players-slim-fit-flat-front-trousers/p/441145668_khaki
Solid Slim Fit Trouser,https://www.ajio.com/ivoc-solid-slim-fit-trouser/p/463863045_black
Flat-Font Chinos with Insert Pockets,https://www.ajio.com/netplay-flat-font-chinos-with-insert-pockets/p/443002269_black
Heathered Slim Fit Flat-Front Chinos,https://www.ajio.com/british-club-heathered-slim-fit-flat-front-chinos/p/469273881_brown
Lightweight Carpenter Trousers,https://www.ajio.com/gap-lightweight-carpenter-trousers/p/441778043_khaki
Ogger Slim Fit Jogger Pants,https://www.ajio.com/buda-jeans-co-ogger-slim-fit-jogger-pants/p/469321617_forestgreen
Slim Fit Flat-Front Casual Trousers,https://www.ajio.com/ketch-slim-fit-flat-front-casual-trousers/p/469034582_grey
Cargo Pants with Utility Pockets,https://www.ajio.com/buda-jeans-co-cargo-pants-with-utility-pockets/p/469419029_atlanticblue
Heathered Slim Fit Flat-Front Chinos,https://www.ajio.com/british-club-heathered-slim-fit-flat-front-chinos/p/469273881_darkblue
